AAA Amanah Syariah Fund (AAAMANS),AAAMANS:IJ,Open-End Fund,Dynamic Allocation,http://www.bloomberg.com/quote/AAAMANS:IJ
AAA Balanced Fund (AAABALF),AAABALF:IJ,Open-End Fund,Dynamic Allocation,http://www.bloomberg.com/quote/AAABALF:IJ
AAA Balanced Fund II (AAABAL2),AAABAL2:IJ,Open-End Fund,Dynamic Allocation,http://www.bloomberg.com/quote/AAABAL2:IJ
AAA Blue Chip Value Fund 2 (AAABCV2),AAABCV2:IJ,Open-End Fund,Growth Large Cap,http://www.bloomberg.com/quote/AAABCV2:IJ
AAA Bond Fund 2 (AAABD2),AAABD2:IJ,Open-End Fund,Aggregate Bond,http://www.bloomberg.com/quote/AAABD2:IJ
AAA Enhanced Strategy Fund (AAAENST),AAAENST:IJ,Open-End Fund,Growth Broad Market,http://www.bloomberg.com/quote/AAAENST:IJ
AAA Equity Fund (AAAEQTY),AAAEQTY:IJ,Open-End Fund,Growth Broad Market,http://www.bloomberg.com/quote/AAAEQTY:IJ
AAA Optimal Income Fund (AAAOPIF),AAAOPIF:IJ,Open-End Fund,Aggregate Bond,http://www.bloomberg.com/quote/AAAOPIF:IJ
AFI Dynamic Money Rp (AFIDMRP),AFIDMRP:IJ,Open-End Fund,Aggregate Bond,http://www.bloomberg.com/quote/AFIDMRP:IJ
AFI Progressive Money Rp (AFIPMRP),AFIPMRP:IJ,Open-End Fund,Moderate Allocation,http://www.bloomberg.com/quote/AFIPMRP:IJ
AFI Secure Money Rp (AFISMRP),AFISMRP:IJ,Open-End Fund,Aggregate Bond,http://www.bloomberg.com/quote/AFISMRP:IJ
AIA Financial IDR Balanced Fund (AIAIBAL),AIAIBAL:IJ,Open-End Fund,Dynamic Allocation,http://www.bloomberg.com/quote/AIAIBAL:IJ
AIA Financial IDR Balanced Syariah Fund (AIAIBSF),AIAIBSF:IJ,Open-End Fund,Dynamic Allocation,http://www.bloomberg.com/quote/AIAIBSF:IJ
AIA Financial IDR Cash Syariah Fund (AIAICSF),AIAICSF:IJ,Open-End Fund,General (Non-US),http://www.bloomberg.com/quote/AIAICSF:IJ
AIA Financial IDR China-India-Indonesia Equity Fund (PTAIACI),PTAIACI:IJ,Open-End Fund,Multiple Country,http://www.bloomberg.com/quote/PTAIACI:IJ
AIA Financial IDR Dana Berkah Fund (AIAIDBF),AIAIDBF:IJ,Open-End Fund,General (Non-US),http://www.bloomberg.com/quote/AIAIDBF:IJ
AIA Financial IDR Equity Syariah Fund (AIAIESF),AIAIESF:IJ,Open-End Fund,Blend Broad Market,http://www.bloomberg.com/quote/AIAIESF:IJ
AIA Financial IDR Equity Fund (AIAIEQT),AIAIEQT:IJ,Open-End Fund,Growth Broad Market,http://www.bloomberg.com/quote/AIAIEQT:IJ
AIA Financial IDR Fixed Income Fund (AIAIFIX),AIAIFIX:IJ,Open-End Fund,Aggregate Bond,http://www.bloomberg.com/quote/AIAIFIX:IJ
AIA Financial IDR Money Market Fund (AIAIMMF),AIAIMMF:IJ,Open-End Fund,General (Non-US),http://www.bloomberg.com/quote/AIAIMMF:IJ
AIA Financial USD Fixed Income Fund (AIAUFIX),AIAUFIX:IJ,Open-End Fund,Foreign Aggregate Bond,http://www.bloomberg.com/quote/AIAUFIX:IJ
Allianz SmartWealth Equity IndoAsia Fund (AZRPIAS),AZRPIAS:IJ,Open-End Fund,Asian Pacific Region ex Japan,http://www.bloomberg.com/quote/AZRPIAS:IJ
Allianz SmartWealth US Dollar IndoAsia Equity Fund (AZUSIAS),AZUSIAS:IJ,Open-End Fund,Asian Pacific Region ex Japan,http://www.bloomberg.com/quote/AZUSIAS:IJ
Allianz SmartWealth Best of Best Indonesia Fund (AZRPBOB),AZRPBOB:IJ,Open-End Fund,Blend Broad Market,http://www.bloomberg.com/quote/AZRPBOB:IJ
Allianz SmartWealth Equity Indoconsumer Fund (AZRPCON),AZRPCON:IJ,Open-End Fund,Consumer Staples,http://www.bloomberg.com/quote/AZRPCON:IJ
Allianz SmartWealth LiquiFlex LQ45 (AZRPLQF),AZRPLQF:IJ,Open-End Fund,Growth Broad Market,http://www.bloomberg.com/quote/AZRPLQF:IJ
Allianz SmartWealth Equity Infrastructure Fund (AZRPINF),AZRPINF:IJ,Open-End Fund,Industrial Sector,http://www.bloomberg.com/quote/AZRPINF:IJ
Allianz SmartWealth Equity Small Medium Capital Fund (AZRPSMC),AZRPSMC:IJ,Open-End Fund,Growth Mid Cap,http://www.bloomberg.com/quote/AZRPSMC:IJ
